Name,Age,Origin,Height,Weight,Category,Wins,Losses,Weapon of Choice,Equipment Quality,Injury History,Mental Resilience,Tactical Knowledge,Battle Experience,Health Status,Training Intensity,Battle Strategy,Survived
Hordeonius Numonius,41,Rome,170,81,Provocator,3,0,Dagger,Standard,Low,2.1224882243211605,Basic,3,Good,Medium,Balanced,True
Licinius Catius,39,Germania,178,79,Thraex,9,4,Sica (Curved Sword),Basic,Low,4.698412656510126,Basic,13,Good,Medium,Aggressive,True
Lartius Mescinius,26,Germania,181,85,Secutor,3,0,Gladius (Sword),Standard,Low,8.437777554274046,Intermediate,3,Excellent,Medium,Balanced,True
Albinius Vibius,31,Greece,181,88,Retiarius,4,0,Net,Standard,Low,7.2456420175031235,Advanced,4,Excellent,Medium,Aggressive,True
Laronius Aelius,27,Gaul,181,91,Thraex,7,2,Dagger,Basic,Low,8.921457962377865,Advanced,9,Excellent,Low,Aggressive,True
Pettius Pinarus,21,Thrace,173,57,Provocator,4,0,Dagger,Superior,Low,5.784731675109053,Expert,4,Excellent,Medium,Aggressive,True
Ollius Laecanius,39,Rome,199,73,Retiarius,6,0,Trident,Superior,Low,2.8252030129250256,Basic,6,Excellent,Low,Aggressive,True
Mamilius Valerius,36,Greece,183,99,Secutor,4,1,Dagger,Standard,Low,2.747699755805659,Basic,5,Good,Low,Balanced,True
Cassius Cordius,18,Gaul,179,78,Murmillo,3,0,Dagger,Superior,Low,6.9580663451388896,Intermediate,3,Excellent,Medium,Balanced,True
Cornelius Gracchus,18,Gaul,166,88,Provocator,3,0,Dagger,Superior,Low,10.15722474096117,Expert,3,Excellent,High,Aggressive,True
Norbanus Fabius,34,Greece,173,87,Hoplomachus,11,5,Dagger,Standard,Low,9.097416346334754,Intermediate,16,Excellent,Medium,Aggressive,True
Bruttius Nasennius,45,Rome,172,83,Thraex,16,4,Dagger,Standard,High,1.829506289698673,Basic,20,Fair,Low,Balanced,True
Pedius Cestius,39,Greece,175,58,Murmillo,7,3,Dagger,Superior,Low,8.80062719704945,Basic,10,Excellent,Medium,Balanced,True
Baebius Sulpicius,26,Gaul,161,76,Murmillo,8,2,Dagger,Basic,Low,3.30987923822004,Intermediate,10,Excellent,Medium,Balanced,True
Novellius Caedicius,37,Greece,196,57,Retiarius,8,3,Trident,Superior,Low,7.519442983134557,Advanced,11,Excellent,Low,Balanced,True
Iulius Ogulnius,30,Rome,193,75,Hoplomachus,5,1,Dagger,Standard,Low,7.894909612207427,Advanced,6,Excellent,Medium,Balanced,True
Gracchus Albinius,27,Thrace,173,69,Provocator,4,0,Dagger,Basic,Low,3.5231376817590685,Advanced,4,Excellent,Medium,Aggressive,True
Opellius Maecenas,28,Thrace,176,80,Murmillo,8,1,Gladius (Sword),Basic,Low,2.464850922555845,Expert,9,Excellent,Low,Aggressive,True
Icilius Minicius,23,Numidia,166,87,Murmillo,4,0,Gladius (Sword),Standard,Low,7.53679413106559,Advanced,4,Excellent,High,Aggressive,True
Mamilius Petilius,19,Rome,174,79,Hoplomachus,2,0,Spear,Standard,Low,6.623965525797571,Expert,2,Excellent,Medium,Balanced,False
Iuventius Ennius,30,Thrace,169,71,Provocator,4,1,Dagger,Superior,Low,3.3427214443739266,Basic,5,Excellent,Medium,Balanced,True
Lucius Flavius,20,Thrace,170,73,Provocator,4,1,Gladius (Sword),Standard,Low,4.261872914367699,Intermediate,5,Excellent,Medium,Balanced,False
Pedius Ovidius,32,Rome,177,83,Hoplomachus,7,1,Spear,Superior,Low,5.0230720685612935,Intermediate,8,Excellent,Medium,Balanced,True
Marcus Cassius,39,Thrace,163,57,Thraex,8,1,Dagger,Standard,High,1.5734064059265331,Basic,9,Fair,Low,Balanced,True
Aulus Spurius,42,Rome,179,60,Retiarius,17,2,Trident,Superior,High,1.0218199747676042,Basic,19,Fair,Medium,Balanced,True
Nautius Nigidius,32,Greece,177,78,Hoplomachus,7,2,Spear,Basic,Low,0.9633388474398435,Advanced,9,Excellent,Medium,Balanced,False
Cornelius Munatius,32,Germania,166,84,Hoplomachus,8,1,Spear,Basic,Low,5.3319073470452265,Intermediate,9,Excellent,Low,Balanced,True
Hostius Cilnius,27,Greece,193,80,Murmillo,7,1,Dagger,Superior,High,7.588282626691473,Expert,8,Excellent,Medium,Aggressive,True
Fabrinius Nautius,24,Gaul,172,106,Secutor,1,0,Dagger,Basic,Low,6.430665858154746,Advanced,1,Excellent,High,Aggressive,False
Decentius Terentius,28,Numidia,171,93,Murmillo,10,4,Gladius (Sword),Standard,High,5.125055961021839,Basic,14,Good,Low,Aggressive,True
Latinius Cornelius,21,Thrace,184,80,Thraex,8,1,Sica (Curved Sword),Standard,High,6.531726634864811,Advanced,9,Excellent,Medium,Defensive,True
Paternus Publius,26,Germania,179,111,Hoplomachus,5,2,Spear,Standard,Low,4.946566204105173,Advanced,7,Excellent,Low,Aggressive,False
Mucius Mallius,18,Greece,168,56,Hoplomachus,3,2,Spear,Basic,Low,9.35248066069848,Intermediate,5,Excellent,Medium,Aggressive,False
Memmius Cestius,32,Germania,179,62,Retiarius,12,6,Net,Superior,High,1.8997961904092264,Advanced,18,Good,Medium,Aggressive,True
Persius Agrippa,38,Thrace,168,56,Provocator,8,3,Dagger,Superior,Low,6.356322093442441,Intermediate,11,Excellent,Low,Balanced,True
Burrienus Numonius,18,Thrace,174,47,Retiarius,4,1,Trident,Basic,Low,4.034638289034424,Advanced,5,Excellent,High,Balanced,False
Cicereius Iulius,41,Gaul,189,71,Retiarius,13,1,Trident,Superior,High,0.8827691161980246,Basic,14,Fair,Medium,Balanced,True
Didius Pacilius,36,Germania,170,86,Provocator,10,2,Gladius (Sword),Standard,Low,4.255884774025494,Basic,12,Excellent,Medium,Aggressive,True
Laberius Fidenas,23,Greece,157,102,Hoplomachus,7,2,Dagger,Standard,Low,1.9698709804261003,Expert,9,Excellent,Medium,Balanced,True
Fidenas Nautius,41,Numidia,166,89,Provocator,11,1,Gladius (Sword),Basic,Low,1.0887339207576097,Basic,12,Good,Low,Balanced,True
Servius Orestius,33,Greece,178,102,Secutor,9,0,Gladius (Sword),Superior,Low,5.060694871482991,Intermediate,9,Excellent,Low,Balanced,True
Matienus Blossius,43,Greece,190,77,Retiarius,9,1,Trident,Standard,Low,1.1541101670381957,Basic,10,Good,Medium,Balanced,True
Numicius Claudius,33,Greece,170,83,Thraex,10,0,Sica (Curved Sword),Standard,Low,4.451972113035843,Intermediate,10,Excellent,Medium,Aggressive,True
Lucretius Herennius,22,Thrace,184,48,Thraex,6,3,Dagger,Superior,Low,7.790982188871933,Expert,9,Excellent,Medium,Aggressive,True
Memmius Cantilius,19,Germania,182,81,Retiarius,2,0,Trident,Superior,Low,7.084408058026449,Basic,2,Excellent,Medium,Balanced,False
Festinius Tiberius,21,Greece,159,65,Murmillo,3,1,Dagger,Superior,Low,4.946746822892264,Advanced,4,Excellent,High,Balanced,False
Catilius Caecilius,18,Numidia,160,82,Murmillo,6,3,Dagger,Basic,Low,4.589437580918579,Advanced,9,Excellent,High,Balanced,True
Lollius Didius,31,Numidia,168,87,Thraex,9,2,Dagger,Standard,Low,2.1993898418822244,Intermediate,11,Excellent,Low,Balanced,True
Ollius Lacerius,40,Greece,166,80,Secutor,7,1,Gladius (Sword),Superior,Low,0.888509214021096,Basic,8,Excellent,Medium,Aggressive,True
Norbanus Catius,38,Greece,178,68,Thraex,10,1,Dagger,Superior,Low,3.5261011086737923,Basic,11,Excellent,Medium,Balanced,True
Acilius Hordeonius,29,Rome,178,82,Hoplomachus,5,0,Dagger,Basic,Low,2.1633075893607017,Advanced,5,Excellent,Medium,Balanced,False
Atilius Valerius,36,Greece,168,98,Murmillo,7,1,Dagger,Basic,High,3.7400108210707024,Intermediate,8,Fair,Medium,Aggressive,True
Caninius Percennius,37,Greece,167,80,Retiarius,6,2,Net,Superior,Low,2.607397949479416,Basic,8,Excellent,Medium,Balanced,True
Nasidienus Nonius,36,Rome,177,77,Retiarius,7,2,Trident,Basic,High,1.5799766181595365,Intermediate,9,Fair,Medium,Aggressive,True
Opellius Baebius,20,Greece,182,127,Murmillo,7,2,Gladius (Sword),Standard,Low,7.879399514033025,Expert,9,Excellent,Low,Aggressive,True
Munatius Cosconius,32,Gaul,179,86,Provocator,12,3,Dagger,Standard,High,3.1187701705616755,Advanced,15,Good,Low,Balanced,True
Aquillius Cornificius,31,Thrace,192,58,Thraex,10,3,Dagger,Standard,Low,6.878257687757638,Advanced,13,Excellent,Low,Aggressive,True
Latinius Ennius,19,Germania,174,75,Thraex,4,1,Sica (Curved Sword),Superior,Low,6.919580175413705,Intermediate,5,Excellent,High,Aggressive,True
Ovidius Iuventius,36,Numidia,177,75,Hoplomachus,8,1,Dagger,Superior,Low,6.897984128935255,Basic,9,Excellent,Medium,Balanced,True
Cominius Spurius,32,Rome,182,104,Hoplomachus,13,4,Dagger,Basic,High,3.517084355442029,Intermediate,17,Good,Low,Balanced,True
Pilus Cloelius,29,Thrace,182,97,Secutor,5,1,Dagger,Basic,Low,5.784563671878404,Intermediate,6,Excellent,Medium,Balanced,True
Fulvius Julius,24,Rome,197,69,Hoplomachus,10,3,Dagger,Superior,Low,7.648771022826104,Advanced,13,Excellent,High,Aggressive,True
Aulus Titus,26,Greece,183,84,Retiarius,7,1,Trident,Basic,Low,2.773587118997772,Advanced,8,Excellent,Low,Balanced,False
Murena Minicius,22,Rome,205,95,Thraex,5,1,Dagger,Superior,Low,9.96675452625296,Expert,6,Excellent,Medium,Aggressive,True
Nautius Ostorius,44,Thrace,173,80,Retiarius,8,4,Net,Standard,Low,1.3901904999267878,Basic,12,Good,Medium,Balanced,True
Considius Gabinius,27,Numidia,178,40,Hoplomachus,11,3,Dagger,Basic,High,1.0573855390729798,Basic,14,Good,Medium,Balanced,True
Appius Ennius,44,Thrace,170,84,Secutor,4,1,Dagger,Standard,Low,3.938089968699587,Basic,5,Good,Medium,Aggressive,True
Caelius Mamilius,36,Thrace,176,83,Retiarius,11,4,Trident,Basic,Low,3.6968317654144665,Basic,15,Good,Medium,Balanced,True
Acilius Cispius,21,Numidia,163,83,Hoplomachus,3,0,Spear,Standard,Low,10.13110484164618,Advanced,3,Excellent,Medium,Aggressive,False
Pasidienus Sextus,23,Numidia,167,80,Provocator,4,0,Dagger,Standard,Low,2.9319099409707885,Expert,4,Excellent,High,Aggressive,True
Betilienus Valerius,42,Gaul,174,51,Hoplomachus,4,1,Dagger,Basic,Low,10.56782283032604,Basic,5,Good,Medium,Balanced,True
Pettius Sextius,21,Rome,183,103,Secutor,4,0,Gladius (Sword),Superior,Low,7.278942630315469,Expert,4,Excellent,Low,Balanced,True
Aulus Curtius,25,Germania,171,91,Murmillo,10,2,Gladius (Sword),Superior,Low,4.57162774322741,Intermediate,12,Excellent,Medium,Aggressive,True
Festinius Hordeonius,44,Thrace,175,85,Murmillo,10,3,Dagger,Standard,Low,4.298023708999353,Basic,13,Good,Medium,Balanced,True
Percennius Murena,35,Thrace,171,90,Hoplomachus,12,2,Spear,Basic,Low,3.7325543130777232,Intermediate,14,Excellent,Medium,Balanced,True
Palpellius Maecilius,22,Numidia,180,87,Retiarius,7,1,Trident,Superior,Low,2.992707440462468,Expert,8,Excellent,Medium,Balanced,True
Gabinius Longinius,33,Gaul,174,80,Retiarius,4,0,Trident,Basic,Low,5.850090833681829,Basic,4,Excellent,Medium,Aggressive,True
Orestius Ollius,28,Numidia,195,80,Hoplomachus,5,2,Spear,Standard,Low,3.607408417686152,Advanced,7,Excellent,Low,Aggressive,True
Sempronius Atilius,25,Thrace,178,102,Murmillo,7,1,Dagger,Standard,High,4.748539134476703,Advanced,8,Excellent,Medium,Balanced,True
Gaius Numicius,25,Numidia,178,73,Murmillo,7,2,Gladius (Sword),Standard,Low,5.258055231575461,Basic,9,Excellent,Medium,Aggressive,True
Iuventius Pettius,40,Gaul,172,64,Thraex,12,2,Sica (Curved Sword),Standard,Low,6.102964069258927,Intermediate,14,Good,Medium,Aggressive,True
Numonius Granius,45,Numidia,159,89,Murmillo,12,2,Dagger,Basic,High,1.003359406868879,Basic,14,Fair,Medium,Aggressive,True
Sextus Cantilius,25,Thrace,191,115,Murmillo,6,2,Dagger,Superior,Low,6.897803329480535,Basic,8,Excellent,Low,Balanced,True
Duronius Junius,20,Greece,171,81,Murmillo,10,5,Gladius (Sword),Basic,High,4.75526963313706,Expert,15,Excellent,High,Balanced,True
Didius Nasennius,25,Greece,188,77,Murmillo,7,1,Gladius (Sword),Superior,Low,5.394016742912317,Intermediate,8,Excellent,Medium,Balanced,True
Fidenas Ennius,27,Rome,185,96,Thraex,9,2,Sica (Curved Sword),Basic,High,3.426298414362852,Advanced,11,Good,Medium,Aggressive,True
Sextus Licinius,30,Thrace,167,93,Murmillo,6,1,Dagger,Standard,Low,4.955856312771048,Intermediate,7,Excellent,Medium,Balanced,True
Matienus Pettius,37,Numidia,165,108,Secutor,7,0,Dagger,Superior,Low,4.5950726023199415,Basic,7,Excellent,Medium,Aggressive,True
Icilius Duronius,33,Rome,170,88,Retiarius,9,2,Net,Superior,Low,7.8644907502954675,Intermediate,11,Excellent,Medium,Aggressive,True
Valerius Messalla,38,Germania,169,91,Retiarius,10,2,Trident,Standard,Low,7.250117274467472,Expert,12,Good,Medium,Aggressive,True
Perperna Tarquinius,21,Numidia,168,94,Thraex,8,0,Dagger,Basic,Low,4.525182501750033,Expert,8,Excellent,Medium,Balanced,True
Aquillius Decentius,29,Germania,190,68,Thraex,7,1,Sica (Curved Sword),Basic,Low,4.833118191480746,Advanced,8,Excellent,Medium,Balanced,True
Maecenas Mucius,23,Rome,181,66,Provocator,2,0,Dagger,Superior,Low,5.328651248431827,Expert,2,Excellent,Medium,Aggressive,False
Julius Mucius,32,Greece,171,47,Murmillo,8,1,Dagger,Standard,Low,3.348914917688081,Expert,9,Excellent,Medium,Balanced,True
Oppius Geminius,26,Germania,169,60,Thraex,1,0,Sica (Curved Sword),Superior,Low,3.627739998565911,Expert,1,Excellent,Medium,Balanced,False
Cocceius Afranius,20,Germania,171,85,Murmillo,12,1,Gladius (Sword),Basic,Low,9.615878737877804,Advanced,13,Excellent,Medium,Aggressive,True
Icilius Acilius,42,Gaul,189,63,Retiarius,7,1,Net,Standard,Low,6.165336527574504,Basic,8,Good,Medium,Balanced,True
Sempronius Antonius,26,Gaul,183,105,Murmillo,6,2,Dagger,Basic,Low,7.8860793711503,Advanced,8,Excellent,Low,Aggressive,True
Orestius Gaius,33,Thrace,166,79,Provocator,5,0,Gladius (Sword),Standard,Low,6.12413170840751,Expert,5,Excellent,Medium,Balanced,True
Didius Antonius,40,Thrace,190,56,Hoplomachus,11,5,Dagger,Standard,High,3.150749572916128,Basic,16,Fair,Medium,Aggressive,True
Musonius Orestius,21,Numidia,158,78,Hoplomachus,2,1,Dagger,Basic,Low,3.604335361130513,Expert,3,Excellent,Medium,Balanced,False
Aulus Furius,34,Gaul,195,97,Thraex,10,1,Sica (Curved Sword),Standard,Low,1.7295806456385507,Intermediate,11,Excellent,Medium,Balanced,True
Lartius Genucius,37,Numidia,182,69,Secutor,11,0,Gladius (Sword),Standard,High,4.553387632280098,Basic,11,Fair,Medium,Aggressive,True
Numerius Mamilius,31,Rome,183,100,Thraex,9,2,Dagger,Standard,Low,2.886092603479248,Basic,11,Excellent,Medium,Balanced,True
Maecenas Marius,44,Germania,168,83,Provocator,14,1,Gladius (Sword),Standard,High,2.9964150930150075,Basic,15,Fair,Medium,Balanced,True
Atilius Laberius,22,Gaul,172,57,Retiarius,8,1,Net,Superior,Low,4.3391058275544285,Advanced,9,Excellent,High,Balanced,True
Festinius Lamponius,20,Thrace,172,71,Hoplomachus,8,4,Dagger,Superior,Low,5.05535256410185,Advanced,12,Excellent,High,Aggressive,True
Geminius Duronius,23,Gaul,179,104,Secutor,4,0,Gladius (Sword),Superior,Low,3.5958113040374635,Expert,4,Excellent,High,Balanced,True
Hostilius Acilius,21,Gaul,174,70,Retiarius,3,0,Net,Superior,Low,4.870763339775127,Intermediate,3,Excellent,Medium,Aggressive,True
Gaius Aulus,23,Thrace,185,110,Murmillo,6,4,Dagger,Superior,Low,6.558085727417433,Intermediate,10,Excellent,Low,Aggressive,True
Hirrus Gracchus,40,Thrace,174,33,Retiarius,9,5,Trident,Superior,Low,5.795847765105832,Basic,14,Excellent,Medium,Balanced,True
Publius Herennius,40,Gaul,171,89,Provocator,11,3,Gladius (Sword),Standard,Low,2.551019497261134,Basic,14,Good,Medium,Aggressive,True
Cinna Fabius,39,Numidia,172,77,Secutor,14,4,Gladius (Sword),Standard,Low,4.004027104997841,Intermediate,18,Good,Medium,Balanced,True
Fidenas Granius,37,Numidia,168,70,Murmillo,8,0,Dagger,Superior,Low,6.65863807047845,Basic,8,Excellent,Medium,Balanced,True
Aulus Titus,38,Thrace,164,121,Murmillo,4,1,Dagger,Basic,Low,4.5005256826226345,Basic,5,Good,Medium,Balanced,True
Festinius Pettius,27,Greece,170,75,Murmillo,8,2,Gladius (Sword),Standard,Low,5.147869138080617,Advanced,10,Excellent,Medium,Defensive,True
Titus Fulvius,31,Rome,169,104,Murmillo,7,1,Dagger,Standard,Low,0.9809196344061898,Expert,8,Excellent,Medium,Defensive,True
Cispius Balbus,25,Numidia,166,100,Secutor,8,1,Dagger,Superior,Low,6.004402474724657,Advanced,9,Excellent,Medium,Aggressive,True
Foslius Atilius,24,Thrace,193,90,Provocator,8,1,Gladius (Sword),Standard,Low,4.599363659252157,Intermediate,9,Excellent,High,Balanced,True
Matinius Aulus,29,Gaul,177,90,Hoplomachus,7,3,Dagger,Superior,High,4.43082883625614,Advanced,10,Excellent,Medium,Aggressive,True
Calpurnius Ninnius,24,Greece,170,84,Hoplomachus,7,4,Dagger,Standard,Low,4.643364747316109,Expert,11,Excellent,Medium,Balanced,True
Octavenus Octavenus,35,Gaul,167,69,Provocator,8,2,Gladius (Sword),Superior,Low,5.8620068401568775,Intermediate,10,Excellent,Low,Balanced,True
Laronius Iuventius,22,Germania,174,91,Murmillo,3,0,Gladius (Sword),Basic,Low,4.79751964538394,Expert,3,Excellent,Medium,Balanced,True
Fabius Atilius,35,Rome,168,66,Retiarius,16,1,Net,Basic,Low,6.570537399099083,Basic,17,Excellent,Medium,Balanced,True
Nasennius Mescinius,37,Germania,175,108,Hoplomachus,7,0,Dagger,Basic,Low,1.453175161211527,Intermediate,7,Good,Low,Aggressive,True
Valerius Musonius,27,Greece,178,82,Murmillo,10,5,Gladius (Sword),Superior,Low,3.934145841896495,Expert,15,Excellent,Low,Balanced,True
Licinius Cinna,23,Thrace,184,63,Hoplomachus,4,1,Dagger,Superior,Low,5.31556954097084,Advanced,5,Excellent,Medium,Balanced,True
Furius Hortensius,32,Rome,180,62,Retiarius,7,2,Trident,Standard,High,4.191715385040933,Advanced,9,Good,Medium,Aggressive,True
Oppius Terentius,42,Germania,183,101,Retiarius,6,2,Trident,Basic,Low,3.362134057548079,Basic,8,Good,Medium,Aggressive,True
Orchius Vibius,43,Numidia,171,75,Retiarius,8,2,Net,Basic,Low,5.795440182032512,Basic,10,Good,Medium,Aggressive,True
Blaesus Valerius,40,Gaul,187,75,Murmillo,7,2,Dagger,Superior,Low,5.498193656518691,Basic,9,Excellent,Low,Balanced,True
Modius Munatius,42,Numidia,186,84,Hoplomachus,13,8,Dagger,Basic,High,3.0417740029306897,Basic,21,Fair,Medium,Balanced,True
Geminius Valerius,26,Germania,179,72,Retiarius,3,0,Trident,Superior,Low,8.100783900154426,Intermediate,3,Excellent,Medium,Aggressive,True
Afranius Cilnius,34,Numidia,169,82,Hoplomachus,8,4,Dagger,Basic,Low,5.833281249317428,Advanced,12,Excellent,Low,Aggressive,True
Fannius Fidenas,37,Greece,176,115,Murmillo,5,0,Gladius (Sword),Superior,Low,4.495466350246692,Intermediate,5,Excellent,Medium,Balanced,True
Considius Cispius,19,Greece,180,78,Retiarius,8,1,Net,Superior,High,5.82025025348231,Intermediate,9,Excellent,Medium,Aggressive,True
Marius Didius,34,Numidia,184,67,Provocator,8,1,Dagger,Superior,Low,4.805564466896987,Expert,9,Excellent,Medium,Balanced,True
